startTime,settlementPeriod,fuelType,generation
2026-05-13T20:00:00Z,43,BIOMASS,2518
2026-05-13T20:00:00Z,43,CCGT,11189
2026-05-13T20:00:00Z,43,COAL,0
2026-05-13T20:00:00Z,43,INTELEC,996
2026-05-13T20:00:00Z,43,INTEW,0
2026-05-13T20:00:00Z,43,INTFR,1508
2026-05-13T20:00:00Z,43,INTGRNL,20
2026-05-13T20:00:00Z,43,INTIFA2,992
2026-05-13T20:00:00Z,43,INTIRL,18
2026-05-13T20:00:00Z,43,INTNED,0
2026-05-13T20:00:00Z,43,INTNEM,602
2026-05-13T20:00:00Z,43,INTNSL,524
2026-05-13T20:00:00Z,43,INTVKL,1216
2026-05-13T20:00:00Z,43,NPSHYD,396
2026-05-13T20:00:00Z,43,NUCLEAR,3402
2026-05-13T20:00:00Z,43,OCGT,2
2026-05-13T20:00:00Z,43,OIL,0
2026-05-13T20:00:00Z,43,OTHER,878
2026-05-13T20:00:00Z,43,PS,514
2026-05-13T20:00:00Z,43,WIND,6412
2026-05-13T20:30:00Z,44,BIOMASS,2519
2026-05-13T20:30:00Z,44,CCGT,10819
2026-05-13T20:30:00Z,44,COAL,0
2026-05-13T20:30:00Z,44,INTELEC,996
2026-05-13T20:30:00Z,44,INTEW,0
2026-05-13T20:30:00Z,44,INTFR,1508
2026-05-13T20:30:00Z,44,INTGRNL,-72
2026-05-13T20:30:00Z,44,INTIFA2,992
2026-05-13T20:30:00Z,44,INTIRL,-20
2026-05-13T20:30:00Z,44,INTNED,0
2026-05-13T20:30:00Z,44,INTNEM,606
2026-05-13T20:30:00Z,44,INTNSL,468
2026-05-13T20:30:00Z,44,INTVKL,1184
2026-05-13T20:30:00Z,44,NPSHYD,391
2026-05-13T20:30:00Z,44,NUCLEAR,3409
2026-05-13T20:30:00Z,44,OCGT,2
2026-05-13T20:30:00Z,44,OIL,0
2026-05-13T20:30:00Z,44,OTHER,504
2026-05-13T20:30:00Z,44,PS,230
2026-05-13T20:30:00Z,44,WIND,6504
2026-05-13T21:00:00Z,45,BIOMASS,2518
2026-05-13T21:00:00Z,45,CCGT,10629
2026-05-13T21:00:00Z,45,COAL,0
2026-05-13T21:00:00Z,45,INTELEC,996
2026-05-13T21:00:00Z,45,INTEW,0
2026-05-13T21:00:00Z,45,INTFR,1508
2026-05-13T21:00:00Z,45,INTGRNL,-218
2026-05-13T21:00:00Z,45,INTIFA2,992
2026-05-13T21:00:00Z,45,INTIRL,-116
2026-05-13T21:00:00Z,45,INTNED,0
2026-05-13T21:00:00Z,45,INTNEM,620
2026-05-13T21:00:00Z,45,INTNSL,94
2026-05-13T21:00:00Z,45,INTVKL,280
2026-05-13T21:00:00Z,45,NPSHYD,321
2026-05-13T21:00:00Z,45,NUCLEAR,3406
2026-05-13T21:00:00Z,45,OCGT,0
2026-05-13T21:00:00Z,45,OIL,0
2026-05-13T21:00:00Z,45,OTHER,569
2026-05-13T21:00:00Z,45,PS,-16
2026-05-13T21:00:00Z,45,WIND,6522
2026-05-13T21:30:00Z,46,BIOMASS,2519
2026-05-13T21:30:00Z,46,CCGT,9981
2026-05-13T21:30:00Z,46,COAL,0
2026-05-13T21:30:00Z,46,INTELEC,996
2026-05-13T21:30:00Z,46,INTEW,0
2026-05-13T21:30:00Z,46,INTFR,1508
2026-05-13T21:30:00Z,46,INTGRNL,-344
2026-05-13T21:30:00Z,46,INTIFA2,992
2026-05-13T21:30:00Z,46,INTIRL,-20
2026-05-13T21:30:00Z,46,INTNED,0
2026-05-13T21:30:00Z,46,INTNEM,626
2026-05-13T21:30:00Z,46,INTNSL,94
2026-05-13T21:30:00Z,46,INTVKL,222
2026-05-13T21:30:00Z,46,NPSHYD,319
2026-05-13T21:30:00Z,46,NUCLEAR,3402
2026-05-13T21:30:00Z,46,OCGT,0
2026-05-13T21:30:00Z,46,OIL,0
2026-05-13T21:30:00Z,46,OTHER,441
2026-05-13T21:30:00Z,46,PS,-16
2026-05-13T21:30:00Z,46,WIND,6235
2026-05-13T22:00:00Z,47,BIOMASS,2510
2026-05-13T22:00:00Z,47,CCGT,7393
2026-05-13T22:00:00Z,47,COAL,0
2026-05-13T22:00:00Z,47,INTELEC,996
2026-05-13T22:00:00Z,47,INTEW,0
2026-05-13T22:00:00Z,47,INTFR,1506
2026-05-13T22:00:00Z,47,INTGRNL,-324
2026-05-13T22:00:00Z,47,INTIFA2,992
2026-05-13T22:00:00Z,47,INTIRL,14
2026-05-13T22:00:00Z,47,INTNED,0
2026-05-13T22:00:00Z,47,INTNEM,968
2026-05-13T22:00:00Z,47,INTNSL,466
2026-05-13T22:00:00Z,47,INTVKL,132
2026-05-13T22:00:00Z,47,NPSHYD,293
2026-05-13T22:00:00Z,47,NUCLEAR,3406
2026-05-13T22:00:00Z,47,OCGT,0
2026-05-13T22:00:00Z,47,OIL,0
2026-05-13T22:00:00Z,47,OTHER,380
2026-05-13T22:00:00Z,47,PS,-10
2026-05-13T22:00:00Z,47,WIND,6280
2026-05-13T22:30:00Z,48,BIOMASS,2521
2026-05-13T22:30:00Z,48,CCGT,5630
2026-05-13T22:30:00Z,48,COAL,0
2026-05-13T22:30:00Z,48,INTELEC,996
2026-05-13T22:30:00Z,48,INTEW,0
2026-05-13T22:30:00Z,48,INTFR,1506
2026-05-13T22:30:00Z,48,INTGRNL,-176
2026-05-13T22:30:00Z,48,INTIFA2,992
2026-05-13T22:30:00Z,48,INTIRL,134
2026-05-13T22:30:00Z,48,INTNED,0
2026-05-13T22:30:00Z,48,INTNEM,976
2026-05-13T22:30:00Z,48,INTNSL,526
2026-05-13T22:30:00Z,48,INTVKL,128
2026-05-13T22:30:00Z,48,NPSHYD,287
2026-05-13T22:30:00Z,48,NUCLEAR,3406
2026-05-13T22:30:00Z,48,OCGT,1
2026-05-13T22:30:00Z,48,OIL,0
2026-05-13T22:30:00Z,48,OTHER,347
2026-05-13T22:30:00Z,48,PS,-2
2026-05-13T22:30:00Z,48,WIND,6863
2026-05-13T23:00:00Z,1,BIOMASS,2511
2026-05-13T23:00:00Z,1,CCGT,4871
2026-05-13T23:00:00Z,1,COAL,0
2026-05-13T23:00:00Z,1,INTELEC,996
2026-05-13T23:00:00Z,1,INTEW,0
2026-05-13T23:00:00Z,1,INTFR,1506
2026-05-13T23:00:00Z,1,INTGRNL,-38
2026-05-13T23:00:00Z,1,INTIFA2,992
2026-05-13T23:00:00Z,1,INTIRL,166
2026-05-13T23:00:00Z,1,INTNED,0
2026-05-13T23:00:00Z,1,INTNEM,964
2026-05-13T23:00:00Z,1,INTNSL,752
2026-05-13T23:00:00Z,1,INTVKL,142
2026-05-13T23:00:00Z,1,NPSHYD,253
2026-05-13T23:00:00Z,1,NUCLEAR,3406
2026-05-13T23:00:00Z,1,OCGT,0
2026-05-13T23:00:00Z,1,OIL,0
2026-05-13T23:00:00Z,1,OTHER,415
2026-05-13T23:00:00Z,1,PS,34
2026-05-13T23:00:00Z,1,WIND,7645
2026-05-13T23:30:00Z,2,BIOMASS,2508
2026-05-13T23:30:00Z,2,CCGT,4208
2026-05-13T23:30:00Z,2,COAL,0
2026-05-13T23:30:00Z,2,INTELEC,996
2026-05-13T23:30:00Z,2,INTEW,0
2026-05-13T23:30:00Z,2,INTFR,1506
2026-05-13T23:30:00Z,2,INTGRNL,72
2026-05-13T23:30:00Z,2,INTIFA2,992
2026-05-13T23:30:00Z,2,INTIRL,166
2026-05-13T23:30:00Z,2,INTNED,0
2026-05-13T23:30:00Z,2,INTNEM,958
2026-05-13T23:30:00Z,2,INTNSL,812
2026-05-13T23:30:00Z,2,INTVKL,142
2026-05-13T23:30:00Z,2,NPSHYD,236
2026-05-13T23:30:00Z,2,NUCLEAR,3408
2026-05-13T23:30:00Z,2,OCGT,1
2026-05-13T23:30:00Z,2,OIL,0
2026-05-13T23:30:00Z,2,OTHER,211
2026-05-13T23:30:00Z,2,PS,-16
2026-05-13T23:30:00Z,2,WIND,8317
2026-05-14T00:00:00Z,3,BIOMASS,2520
2026-05-14T00:00:00Z,3,CCGT,3975
2026-05-14T00:00:00Z,3,COAL,0
2026-05-14T00:00:00Z,3,INTELEC,998
2026-05-14T00:00:00Z,3,INTEW,0
2026-05-14T00:00:00Z,3,INTFR,1508
2026-05-14T00:00:00Z,3,INTGRNL,66
2026-05-14T00:00:00Z,3,INTIFA2,992
2026-05-14T00:00:00Z,3,INTIRL,166
2026-05-14T00:00:00Z,3,INTNED,0
2026-05-14T00:00:00Z,3,INTNEM,612
2026-05-14T00:00:00Z,3,INTNSL,1186
2026-05-14T00:00:00Z,3,INTVKL,138
2026-05-14T00:00:00Z,3,NPSHYD,214
2026-05-14T00:00:00Z,3,NUCLEAR,3401
2026-05-14T00:00:00Z,3,OCGT,3
2026-05-14T00:00:00Z,3,OIL,0
2026-05-14T00:00:00Z,3,OTHER,352
2026-05-14T00:00:00Z,3,PS,-70
2026-05-14T00:00:00Z,3,WIND,7917
2026-05-14T00:30:00Z,4,BIOMASS,2519
2026-05-14T00:30:00Z,4,CCGT,4127
2026-05-14T00:30:00Z,4,COAL,0
2026-05-14T00:30:00Z,4,INTELEC,996
2026-05-14T00:30:00Z,4,INTEW,0
2026-05-14T00:30:00Z,4,INTFR,1508
2026-05-14T00:30:00Z,4,INTGRNL,-18
2026-05-14T00:30:00Z,4,INTIFA2,992
2026-05-14T00:30:00Z,4,INTIRL,166
2026-05-14T00:30:00Z,4,INTNED,0
2026-05-14T00:30:00Z,4,INTNEM,604
2026-05-14T00:30:00Z,4,INTNSL,1202
2026-05-14T00:30:00Z,4,INTVKL,144
2026-05-14T00:30:00Z,4,NPSHYD,216
2026-05-14T00:30:00Z,4,NUCLEAR,3407
2026-05-14T00:30:00Z,4,OCGT,3
2026-05-14T00:30:00Z,4,OIL,0
2026-05-14T00:30:00Z,4,OTHER,342
2026-05-14T00:30:00Z,4,PS,-162
2026-05-14T00:30:00Z,4,WIND,7505
2026-05-14T01:00:00Z,5,BIOMASS,2510
2026-05-14T01:00:00Z,5,CCGT,3684
2026-05-14T01:00:00Z,5,COAL,0
2026-05-14T01:00:00Z,5,INTELEC,996
2026-05-14T01:00:00Z,5,INTEW,0
2026-05-14T01:00:00Z,5,INTFR,1508
2026-05-14T01:00:00Z,5,INTGRNL,-146
2026-05-14T01:00:00Z,5,INTIFA2,992
2026-05-14T01:00:00Z,5,INTIRL,166
2026-05-14T01:00:00Z,5,INTNED,0
2026-05-14T01:00:00Z,5,INTNEM,472
2026-05-14T01:00:00Z,5,INTNSL,982
2026-05-14T01:00:00Z,5,INTVKL,296
2026-05-14T01:00:00Z,5,NPSHYD,216
2026-05-14T01:00:00Z,5,NUCLEAR,3410
2026-05-14T01:00:00Z,5,OCGT,3
2026-05-14T01:00:00Z,5,OIL,0
2026-05-14T01:00:00Z,5,OTHER,295
2026-05-14T01:00:00Z,5,PS,-270
2026-05-14T01:00:00Z,5,WIND,7493
2026-05-14T01:30:00Z,6,BIOMASS,2482
2026-05-14T01:30:00Z,6,CCGT,3591
2026-05-14T01:30:00Z,6,COAL,0
2026-05-14T01:30:00Z,6,INTELEC,996
2026-05-14T01:30:00Z,6,INTEW,0
2026-05-14T01:30:00Z,6,INTFR,1508
2026-05-14T01:30:00Z,6,INTGRNL,-200
2026-05-14T01:30:00Z,6,INTIFA2,992
2026-05-14T01:30:00Z,6,INTIRL,166
2026-05-14T01:30:00Z,6,INTNED,0
2026-05-14T01:30:00Z,6,INTNEM,472
2026-05-14T01:30:00Z,6,INTNSL,922
2026-05-14T01:30:00Z,6,INTVKL,290
2026-05-14T01:30:00Z,6,NPSHYD,216
2026-05-14T01:30:00Z,6,NUCLEAR,3404
2026-05-14T01:30:00Z,6,OCGT,3
2026-05-14T01:30:00Z,6,OIL,0
2026-05-14T01:30:00Z,6,OTHER,419
2026-05-14T01:30:00Z,6,PS,-170
2026-05-14T01:30:00Z,6,WIND,7630
2026-05-14T02:00:00Z,7,BIOMASS,2495
2026-05-14T02:00:00Z,7,CCGT,3506
2026-05-14T02:00:00Z,7,COAL,0
2026-05-14T02:00:00Z,7,INTELEC,996
2026-05-14T02:00:00Z,7,INTEW,0
2026-05-14T02:00:00Z,7,INTFR,1508
2026-05-14T02:00:00Z,7,INTGRNL,-200
2026-05-14T02:00:00Z,7,INTIFA2,992
2026-05-14T02:00:00Z,7,INTIRL,166
2026-05-14T02:00:00Z,7,INTNED,0
2026-05-14T02:00:00Z,7,INTNEM,460
2026-05-14T02:00:00Z,7,INTNSL,548
2026-05-14T02:00:00Z,7,INTVKL,-26
2026-05-14T02:00:00Z,7,NPSHYD,217
2026-05-14T02:00:00Z,7,NUCLEAR,3409
2026-05-14T02:00:00Z,7,OCGT,0
2026-05-14T02:00:00Z,7,OIL,0
2026-05-14T02:00:00Z,7,OTHER,336
2026-05-14T02:00:00Z,7,PS,-418
2026-05-14T02:00:00Z,7,WIND,7687
2026-05-14T02:30:00Z,8,BIOMASS,2497
2026-05-14T02:30:00Z,8,CCGT,3664
2026-05-14T02:30:00Z,8,COAL,0
2026-05-14T02:30:00Z,8,INTELEC,998
2026-05-14T02:30:00Z,8,INTEW,0
2026-05-14T02:30:00Z,8,INTFR,1508
2026-05-14T02:30:00Z,8,INTGRNL,-200
2026-05-14T02:30:00Z,8,INTIFA2,992
2026-05-14T02:30:00Z,8,INTIRL,166
2026-05-14T02:30:00Z,8,INTNED,0
2026-05-14T02:30:00Z,8,INTNEM,460
2026-05-14T02:30:00Z,8,INTNSL,506
2026-05-14T02:30:00Z,8,INTVKL,-44
2026-05-14T02:30:00Z,8,NPSHYD,222
2026-05-14T02:30:00Z,8,NUCLEAR,3401
2026-05-14T02:30:00Z,8,OCGT,0
2026-05-14T02:30:00Z,8,OIL,0
2026-05-14T02:30:00Z,8,OTHER,454
2026-05-14T02:30:00Z,8,PS,-416
2026-05-14T02:30:00Z,8,WIND,7335
2026-05-14T03:00:00Z,9,BIOMASS,2498
2026-05-14T03:00:00Z,9,CCGT,3657
2026-05-14T03:00:00Z,9,COAL,0
2026-05-14T03:00:00Z,9,INTELEC,996
2026-05-14T03:00:00Z,9,INTEW,0
2026-05-14T03:00:00Z,9,INTFR,1508
2026-05-14T03:00:00Z,9,INTGRNL,-200
2026-05-14T03:00:00Z,9,INTIFA2,992
2026-05-14T03:00:00Z,9,INTIRL,166
2026-05-14T03:00:00Z,9,INTNED,0
2026-05-14T03:00:00Z,9,INTNEM,410
2026-05-14T03:00:00Z,9,INTNSL,466
2026-05-14T03:00:00Z,9,INTVKL,-146
2026-05-14T03:00:00Z,9,NPSHYD,221
2026-05-14T03:00:00Z,9,NUCLEAR,3403
2026-05-14T03:00:00Z,9,OCGT,0
2026-05-14T03:00:00Z,9,OIL,0
2026-05-14T03:00:00Z,9,OTHER,331
2026-05-14T03:00:00Z,9,PS,-414
2026-05-14T03:00:00Z,9,WIND,7425
2026-05-14T03:30:00Z,10,BIOMASS,2496
2026-05-14T03:30:00Z,10,CCGT,3640
2026-05-14T03:30:00Z,10,COAL,0
2026-05-14T03:30:00Z,10,INTELEC,996
2026-05-14T03:30:00Z,10,INTEW,0
2026-05-14T03:30:00Z,10,INTFR,1508
2026-05-14T03:30:00Z,10,INTGRNL,-200
2026-05-14T03:30:00Z,10,INTIFA2,992
2026-05-14T03:30:00Z,10,INTIRL,166
2026-05-14T03:30:00Z,10,INTNED,0
