startTime,settlementPeriod,dataProvider,price,volume
2016-09-15T23:00:00Z,1,APXMIDP,27.69,254.0
2016-09-15T22:30:00Z,48,APXMIDP,27.86,283.6
2016-09-15T22:00:00Z,47,APXMIDP,34.81,580.9
2016-09-15T21:30:00Z,46,APXMIDP,34.46,808.6
2016-09-15T21:00:00Z,45,APXMIDP,40.99,785.0
2016-09-15T20:30:00Z,44,APXMIDP,41.57,984.1
2016-09-15T20:00:00Z,43,APXMIDP,42.64,1025.3
2016-09-15T19:30:00Z,42,APXMIDP,278.02,1115.5
2016-09-15T19:00:00Z,41,APXMIDP,325.6,1086.75
2016-09-15T18:30:00Z,40,APXMIDP,384.36,1085.7
2016-09-15T18:00:00Z,39,APXMIDP,304.62,1162.5
2016-09-15T17:30:00Z,38,APXMIDP,150.45,980.6
2016-09-15T17:00:00Z,37,APXMIDP,152.94,855.65
2016-09-15T16:30:00Z,36,APXMIDP,164.9,793.6
2016-09-15T16:00:00Z,35,APXMIDP,153.02,790.4
2016-09-15T15:30:00Z,34,APXMIDP,113.92,1001.7
2016-09-15T15:00:00Z,33,APXMIDP,106.03,942.7
2016-09-15T14:30:00Z,32,APXMIDP,98.84,1004.1
2016-09-15T14:00:00Z,31,APXMIDP,98.77,1004.9
2016-09-15T13:30:00Z,30,APXMIDP,37.85,691.5
2016-09-15T13:00:00Z,29,APXMIDP,38.56,665.05
2016-09-15T12:30:00Z,28,APXMIDP,39.86,548.65
2016-09-15T12:00:00Z,27,APXMIDP,40.75,544.05
2016-09-15T11:30:00Z,26,APXMIDP,40.68,553.65
2016-09-15T11:00:00Z,25,APXMIDP,44.34,437.1
2016-09-15T10:30:00Z,24,APXMIDP,45.22,405.2
2016-09-15T10:00:00Z,23,APXMIDP,45.53,432.8
2016-09-15T09:30:00Z,22,APXMIDP,60.34,402.85
2016-09-15T09:00:00Z,21,APXMIDP,62.46,451.5
2016-09-15T08:30:00Z,20,APXMIDP,65.92,447.0
2016-09-15T08:00:00Z,19,APXMIDP,67.03,436.0
2016-09-15T07:30:00Z,18,APXMIDP,62.57,512.5
2016-09-15T07:00:00Z,17,APXMIDP,60.96,659.5
2016-09-15T06:30:00Z,16,APXMIDP,56.65,526.25
2016-09-15T06:00:00Z,15,APXMIDP,55.71,512.6
2016-09-15T05:30:00Z,14,APXMIDP,24.7,589.85
2016-09-15T05:00:00Z,13,APXMIDP,29.74,389.4
2016-09-15T04:30:00Z,12,APXMIDP,27.06,303.0
2016-09-15T04:00:00Z,11,APXMIDP,25.55,292.5
2016-09-15T03:30:00Z,10,APXMIDP,23.3,361.6
2016-09-15T03:00:00Z,9,APXMIDP,23.1,405.85
2016-09-15T02:30:00Z,8,APXMIDP,23.9,319.2
2016-09-15T02:00:00Z,7,APXMIDP,24.19,328.8
2016-09-15T01:30:00Z,6,APXMIDP,24.45,274.35
2016-09-15T01:00:00Z,5,APXMIDP,24.05,245.8
2016-09-15T00:30:00Z,4,APXMIDP,24.03,267.2
2016-09-15T00:00:00Z,3,APXMIDP,23.82,327.5
2016-09-14T23:30:00Z,2,APXMIDP,27.65,300.9
2016-09-14T23:00:00Z,1,APXMIDP,28.32,268.5
2016-09-14T22:30:00Z,48,APXMIDP,29.09,421.7
2016-09-14T22:00:00Z,47,APXMIDP,31.89,620.35
2016-09-14T21:30:00Z,46,APXMIDP,100.79,1012.1
2016-09-14T21:00:00Z,45,APXMIDP,119.42,835.95
2016-09-14T20:30:00Z,44,APXMIDP,103.63,997.0
2016-09-14T20:00:00Z,43,APXMIDP,107.35,1012.55
2016-09-14T19:30:00Z,42,APXMIDP,224.87,948.75
2016-09-14T19:00:00Z,41,APXMIDP,346.6,817.15
2016-09-14T18:30:00Z,40,APXMIDP,402.14,900.15
2016-09-14T18:00:00Z,39,APXMIDP,304.97,826.05
2016-09-14T17:30:00Z,38,APXMIDP,226.08,1023.65
2016-09-14T17:00:00Z,37,APXMIDP,221.4,939.1
2016-09-14T16:30:00Z,36,APXMIDP,198.72,1040.0
2016-09-14T16:00:00Z,35,APXMIDP,221.57,889.3
2016-09-14T15:30:00Z,34,APXMIDP,143.82,987.6
2016-09-14T15:00:00Z,33,APXMIDP,113.11,1011.05
2016-09-14T14:30:00Z,32,APXMIDP,112.21,883.75
2016-09-14T14:00:00Z,31,APXMIDP,110.77,871.3
2016-09-14T13:30:00Z,30,APXMIDP,36.98,981.6
2016-09-14T13:00:00Z,29,APXMIDP,36.23,897.2
2016-09-14T12:30:00Z,28,APXMIDP,36.49,812.9
2016-09-14T12:00:00Z,27,APXMIDP,37.69,801.6
2016-09-14T11:30:00Z,26,APXMIDP,35.18,580.55
2016-09-14T11:00:00Z,25,APXMIDP,35.53,593.55
2016-09-14T10:30:00Z,24,APXMIDP,35.98,567.85
2016-09-14T10:00:00Z,23,APXMIDP,38.15,470.1
2016-09-14T09:30:00Z,22,APXMIDP,43.52,474.5
2016-09-14T09:00:00Z,21,APXMIDP,47.8,400.4
2016-09-14T08:30:00Z,20,APXMIDP,47.19,462.75
2016-09-14T08:00:00Z,19,APXMIDP,47.44,484.85
2016-09-14T07:30:00Z,18,APXMIDP,49.73,460.3
2016-09-14T07:00:00Z,17,APXMIDP,54.76,438.1
2016-09-14T06:30:00Z,16,APXMIDP,52.25,543.75
2016-09-14T06:00:00Z,15,APXMIDP,47.38,330.25
