SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,SCOTTISH_TRANSFER,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW
2026-04-01,1,24019,A,28762,21892,1112,6606,0,22126,0,9,2436,1009,580,-1004,-451,-406,-907,1239,598,-952,-514
2026-04-01,2,23774,A,28403,21738,1134,6606,0,22126,0,9,2538,998,579,-1014,-452,-255,-920,1217,601,-965,-514
2026-04-01,3,24112,A,28646,22125,1153,6606,0,22126,0,120,2548,1239,682,-1014,-451,-102,-821,1167,923,-1012,-514
2026-04-01,4,24114,A,28653,22306,1172,6606,0,22126,0,164,2889,1254,695,-1014,-452,-60,-818,1144,941,-1017,-514
2026-04-01,5,23803,A,28486,22078,1186,6606,0,22126,0,163,2959,1236,943,-1011,-437,-66,-916,921,875,-1076,-514
2026-04-01,6,23273,A,27912,21588,1199,6606,0,22126,0,163,3066,1236,959,-1010,-451,0,-920,864,870,-1081,-514
2026-04-01,7,22957,A,27400,21343,1216,6606,0,22126,0,40,3238,1355,968,-1015,-367,0,-920,491,861,-1087,-514
2026-04-01,8,22665,A,27030,21102,1233,6606,0,22126,0,6,3255,1363,967,-1015,-322,0,-920,448,862,-1088,-514
2026-04-01,9,22356,A,26818,20762,1227,6606,0,22126,0,6,3126,1155,918,-1015,-320,0,-1018,492,918,-1089,-514
2026-04-01,10,22165,A,26576,20550,1221,6606,0,22126,0,6,3054,1135,900,-1016,-264,0,-1022,527,909,-1091,-512
2026-04-01,11,22267,A,26469,20632,1242,6606,0,22126,0,10,3244,569,370,-1015,-126,-11,-1022,901,469,-1091,-427
2026-04-01,12,22903,A,27137,21175,1262,6606,0,22126,0,9,3137,526,334,-1014,-151,-105,-1022,977,439,-1091,-342
2026-04-01,13,24792,A,28736,22861,1279,6606,0,22126,0,14,3157,361,373,-1014,-53,-19,-1022,1350,368,-1093,-229
2026-04-01,14,26288,A,30386,24230,1295,6606,1,22126,0,17,3142,351,363,-1015,-139,0,-1010,1397,367,-1085,-332
2026-04-01,15,28270,A,31324,25980,1311,6606,94,22126,0,6,3170,525,-107,-920,-135,0,-313,1397,489,-713,-360
2026-04-01,16,29317,A,32452,26878,1327,6606,427,22126,0,6,3199,547,-122,-812,-272,0,-273,1397,504,-666,-484
2026-04-01,17,31513,A,33013,28993,1373,6606,895,22126,0,9,3107,1030,498,349,-402,0,-75,1397,745,125,-514
2026-04-01,18,31713,A,33179,29219,1419,6606,1370,22126,0,9,3231,1072,544,398,-376,0,-67,1397,765,196,-514
